"The batter reached first base.", "The batter reached base. The batter reached first base."
"The batter did not swing at the pitch.", "The batter did not swing. The batter did not swing at the pitch."
"The umpire ruled it a strike.", "The umpire ruled it a strike."
"The pitch crossed the plate over the top of the strike zone.", "The pitch crossed the plate. The pitch crossed the plate over the top. The pitch crossed the plate over the top of the strike zone."
"This makes it a foul ball.", "This makes it a foul ball."
"The ball was caught by the first baseman.", "The ball was caught. The ball was caught by the baseman. The ball was caught by the first baseman."
"The ball was caught by the right fielder in the air for an out.", "The ball was caught. The ball was caught for an out. The ball was caught by the fielder. The ball was caught by the fielder for an out. The ball was caught by the fielder in the air. The ball was caught by the fielder in the air for an out. The ball was caught by the right fielder. The ball was caught by the right fielder for an out. The ball was caught by the right fielder in the air. The ball was caught by the right fielder in the air for an out."
"The ball was not caught.", "The ball was not caught."
"The fielder caught the ball for an out.", "The fielder caught the ball. The fielder caught the ball for an out."
"The batter missed the ball.", "The batter missed the ball."
"The batter knocked the ball out of play.", "The batter knocked the ball. The batter knocked the ball out of play."
"The batter did not take a full swing.", "The batter did not take a swing. The batter did not take a full swing."
"The batter hit a ball.", "The batter hit a ball."
"The shortstop threw on to first base for an out.", "The shortstop threw on. The shortstop threw on to base. The shortstop threw on to base for an out. The shortstop threw on to first base. The shortstop threw on to first base for an out."
"The pitch crossed the plate in the strike zone.", "The pitch crossed the plate. The pitch crossed the plate in the strike zone."
"The ball bounced to the third baseman.", "The ball bounced. The ball bounced to the baseman. The ball bounced to the third baseman."
"The ball did not end up in the field of play.", "The ball did not end up. The ball did not end up in the field. The ball did not end up in the field of play."
"The player made contact hitting the ball back to the pitcher.", "The player made contact. The player made contact hitting the ball back. The player made contact hitting the ball back to the pitcher."
"A ground out isn't an option.", "A ground out isn't an option."
"An out ended the inning.", "An out ended the inning."
"The batter hit the ball on the ground to the shortstop.", "The batter hit the ball. The batter hit the ball to the shortstop. The batter hit the ball on the ground. The batter hit the ball on the ground to the shortstop."
"It crossed into foul territory before landing.", "It crossed. It crossed into territory. It crossed into foul territory. It crossed before landing. It crossed into territory before landing. It crossed into foul territory before landing."
"The batter took a check swing.", "The batter took a check swing."
"The batter hit it towards right field.", "The batter hit it. The batter hit it towards field. The batter hit it towards right field."
"The pitch was outside the strike zone.", "The pitch was outside the strike zone."
"The third baseman collected it.", "The baseman collected it. The third baseman collected it."
"It is a home run.", "It is a home run."
"It is a strike.", "It is a strike."
"This resulted in a foul ball.", "This resulted in a ball. This resulted in a foul ball."
"The batter connected with the ball.", "The batter connected with the ball."
"The ball bounced on the ground.", "The ball bounced. The ball bounced on the ground."
"He hit it outside the foul lines.", "He hit it. He hit it outside the lines. He hit it outside the foul lines."
"The ball was not caught by the outfielder.", "The ball was not caught. The ball was not caught by the outfielder."
"It was hit to the 3rd base.", "It was hit. It was hit to the base. It was hit to the 3rd base."
"The batter sent it into left field.", "The batter sent it. The batter sent it into field. The batter sent it into left field."
"The batter made contact with the ball.", "The batter made contact. The batter made contact with the ball."
"Atulve's batted ball landed in the right field grass for a hit.", "Ball landed. Atulve's ball landed. Ball landed for a hit. Atulve's ball landed for a hit. Batted ball landed. Atulve's batted ball landed. Batted ball landed for a hit. Atulve's batted ball landed for a hit. Ball landed in the field grass. Atulve's ball landed in the field grass. Batted ball landed in the field grass. Atulve's batted ball landed in the field grass. Ball landed in the field grass for a hit. Atulve's ball landed in the field grass for a hit. Batted ball landed in the field grass for a hit. Atulve's batted ball landed in the field grass for a hit. Ball landed in the right field grass. Atulve's ball landed in the right field grass. Ball landed in the right field grass for a hit. Atulve's ball landed in the right field grass for a hit. Batted ball landed in the right field grass. Atulve's batted ball landed in the right field grass. Batted ball landed in the right field grass for a hit. Atulve's batted ball landed in the right field grass for a hit."
"The hitter didn't swing.", "The hitter didn't swing."
"A home run was hit out of the playing grounds.", "A home run was hit. A home run was hit out of the playing grounds."
"It was outside the strike zone.", "It was outside. It was outside the strike zone."
"The batter hit it to left center field.", "The batter hit it. The batter hit it to center field. The batter hit it to left center field."
"The batter hit it into the air,past the foul line.", "The batter hit it. The batter hit it into the air. The batter hit it past the line. The batter hit it into the air past the line. The batter hit it past the foul line. The batter hit it into the air past the foul line."
"The 3rd base easily throws out.", "The base easily throws out. The 3rd base easily throws out."
"The batted ball went into the stands in foul territory.", "The ball went. The batted ball went. The ball went into the stands. The batted ball went into the stands. The ball went into the stands in territory. The batted ball went into the stands in territory. The ball went into the stands in foul territory. The batted ball went into the stands in foul territory."
"It was not in play.", "It was not. It was not in play."
"The batter swung at the pitch.", "The batter swung. The batter swung at the pitch."
"The ball did not appear to be in the strike zone from the angle.", "The ball did not appear. The ball did not appear to be in the strike zone. The ball did not appear from the angle. The ball did not appear to be in the strike zone from the angle."
"It landed outside of the strike zone without being swung at by the batter.", "It landed outside. It landed outside of the strike zone. It landed without being swung at. It landed without being swung at by the batter. It landed outside of the strike zone without being swung at. It landed outside of the strike zone without being swung at by the batter."
"The runner is out.", "The runner is out."
"The batter hit it into foul territory.", "The batter hit it. The batter hit it into territory. The batter hit it into foul territory."
"The batter missed.", "The batter missed."
"The ball crossed the plate outside the strike zone.", "The ball crossed the plate. The ball crossed the plate outside the strike zone."
"The batter's swing connected with the ball.", "The batter's swing connected. The batter's swing connected with the ball."
"The ball was caught in the air.", "The ball was caught. The ball was caught in the air."
"It was a ground ball to the shortstop.", "It was a ground ball. It was a ground ball to the shortstop."
"The outfielder caught it in the air.", "The outfielder caught it. The outfielder caught it in the air."
"The batter hit a fly ball to left field.", "The batter hit a fly ball. The batter hit a fly ball to field. The batter hit a fly ball to left field."
"The ball did not appear to be in the strike zone.", "The ball did not appear. The ball did not appear to be in the strike zone."
"The ball was not thrown through the strike zone.", "The ball was not thrown. The ball was not thrown through the strike zone."
"It was a strike.", "It was a strike."
"The shortstop threw to the runner at first.", "The shortstop threw. The shortstop threw to the runner."
"The ball went through the strike zone.", "The ball went. The ball went through the strike zone."
"It was collected by the third baseman.", "It was collected. It was collected by the baseman. It was collected by the third baseman."
"The ball landed within the strike zone.", "The ball landed. The ball landed within the strike zone."
"The third baseman threw to second base.", "The baseman threw. The third baseman threw. The baseman threw to base. The third baseman threw to base. The baseman threw to second base. The third baseman threw to second base."
"It was a home run.", "It was a home run."
"It was caught.", "It was caught."
"It was caught midair by a defender.", "It was caught midair. It was caught midair by a defender."
"The fielder caught a fly ball in the air.", "The fielder caught a fly ball. The fielder caught a fly ball in the air."
"It did not go into the field of play.", "It did not go. It did not go into the field. It did not go into the field of play."
"The batter swung.", "The batter swung."
"It was a single.", "It was a single."
"The batter did not hit the ball.", "The batter did not hit the ball."
